Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,Feb,18,Snow,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car
2,Feb,8,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Male,40,Bus or coach (17 or more passenger seats)
2,Feb,8,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Female,17,Bus or coach (17 or more passenger seats)
2,Feb,8,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,16,Bus or coach (17 or more passenger seats)
2,Feb,8,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,19,Bus or coach (17 or more passenger seats)
2,Feb,9,Snow,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Car
2,Feb,9,Snow,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,29,Car
1,Feb,16,Frost / Ice,Daylight: street lights present,Snowing without high winds,Driver,Slight,Male,40,Motorcycle over 500cc
2,Feb,16,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,21,Car
1,Feb,8,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Slight,Female,44,Car
2,Feb,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,47,Car
1,Feb,15,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Female,24,Taxi/Private hire car
2,Feb,9,Frost / Ice,Daylight: street lights present,Snowing without high winds,Driver,Slight,Male,66,Car
2,Feb,19,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,58,Car
2,Feb,19,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car
1,Feb,10,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Female,26,Car
1,Feb,9,Snow,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Car
6,Feb,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car
2,Feb,9,Frost / Ice,Daylight: street lights present,Snowing without high winds,Driver,Slight,Male,29,Car
2,Feb,19,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Car
2,Feb,19,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car
2,Feb,7,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Motorcycle over 50cc and up to 125cc
1,Feb,12,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,94,Car
1,Feb,22,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,25,Car
1,Feb,22,Frost / Ice,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,34,Car
2,Feb,17,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,36,Motorcycle over 500cc
3,Feb,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
1,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,13,Bus or coach (17 or more passenger seats)
1,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,12,Bus or coach (17 or more passenger seats)
1,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Bus or coach (17 or more passenger seats)
1,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,14,Bus or coach (17 or more passenger seats)
1,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Bus or coach (17 or more passenger seats)
1,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,12,Bus or coach (17 or more passenger seats)
3,Feb,17,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,62,Car
2,Feb,8,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,32,Car
1,Feb,5,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car
2,Feb,19,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,64,Car
1,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,48,Bus or coach (17 or more passenger seats)
1,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,37,Bus or coach (17 or more passenger seats)
1,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Bus or coach (17 or more passenger seats)
2,Feb,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,53,Car
4,Feb,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,57,Car
4,Feb,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,52,Car
4,Feb,6,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,55,Car
2,Feb,18,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,33,Car
1,Feb,3,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,25,Taxi/Private hire car
2,Feb,18,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,63,Car
2,Feb,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,56,Car
2,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,34,Car
1,Feb,1,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Car
1,Feb,1,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,23,Car
1,Feb,1,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Car
1,Feb,1,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
1,Feb,8,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,35,Car
1,Feb,5,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,34,Car
1,Feb,5,Frost / Ice,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,43,Car
2,Feb,7,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
2,Feb,13,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,29,Goods vehicle 3.5 tonnes mgw and under
2,Feb,13,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Goods vehicle 3.5 tonnes mgw and under
1,Feb,8,Frost / Ice,Daylight: street lights present,Other,Driver,Slight,Female,25,Car
4,Feb,9,Snow,Daylight: street lights present,Other,Driver,Slight,Male,50,Goods vehicle 3.5 tonnes mgw and under
4,Feb,9,Snow,Daylight: street lights present,Other,Driver,Slight,Male,29,Car
2,Feb,17,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,40,Car
2,Feb,17,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Male,33,Car
2,Feb,9,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,50,Car
1,Feb,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,39,Bus or coach (17 or more passenger seats)
2,Feb,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle
2,Feb,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Car
1,Feb,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,35,Car
3,Feb,16,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,42,Car
3,Feb,16,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car
2,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Car
2,Feb,0,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,32,Car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,17,Car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,45,Car
2,Feb,7,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,63,Car
2,Feb,7,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,57,Minibus (8 – 16 passenger seats)
2,Feb,7,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,21,Minibus (8 – 16 passenger seats)
2,Feb,7,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,47,Minibus (8 – 16 passenger seats)
2,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Pedal cycle
2,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,51,Car
2,Feb,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car
1,Feb,5,Frost / Ice,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,22,Car
2,Feb,5,Frost / Ice,Darkness: street lights present and lit,Other,Passenger,Slight,Male,24,Car
2,Feb,5,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,44,Car
2,Feb,20,Wet / Damp,Darkness: street lights present but unlit,Fine without high winds,Driver,Slight,Male,18,Motorcycle over 50cc and up to 125cc
1,Feb,21,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,36,Car
2,Feb,18,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,25,Car
1,Feb,21,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,45,Car
1,Feb,18,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,60,Motorcycle over 500cc
1,Feb,18,Dry,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Female,19,Taxi/Private hire car
2,Feb,15,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,52,Car
2,Feb,21,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,24,Motorcycle over 50cc and up to 125cc
2,Feb,16,Wet / Damp,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,7,Car
2,Feb,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
2,Feb,19,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,70,Car
2,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,22,Car
2,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
2,Feb,17,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,17,Motorcycle over 50cc and up to 125cc
1,Feb,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Bus or coach (17 or more passenger seats)
3,Feb,12,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,71,Car
4,Feb,22,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,67,Car
4,Feb,22,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,22,Car
2,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,14,Other Vehicle 
2,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Other Vehicle 
1,Feb,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,19,Car
1,Feb,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,55,Bus or coach (17 or more passenger seats)
1,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,68,Bus or coach (17 or more passenger seats)
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,79,Car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,74,Car
1,Feb,18,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,13,Car
1,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,3,Bus or coach (17 or more passenger seats)
2,Feb,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,27,Motorcycle over 125cc and up to 500cc
1,Feb,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,79,Taxi/Private hire car
2,Feb,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,13,M/cycle 50cc and under
2,Feb,20,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,17,Bus or coach (17 or more passenger seats)
2,Feb,20,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,16,Bus or coach (17 or more passenger seats)
2,Feb,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,33,Pedal cycle
1,Feb,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,15,Car
1,Feb,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,16,Car
1,Feb,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,17,Car
2,Feb,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car
2,Feb,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car
2,Feb,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,34,Car
1,Feb,11,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,25,Car
2,Feb,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,46,Car
1,Feb,11,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,19,Car
2,Feb,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,24,Car
1,Feb,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,5,Bus or coach (17 or more passenger seats)
1,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,20,Bus or coach (17 or more passenger seats)
2,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Car
1,Feb,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,10,Car
1,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,3,Car
1,Feb,0,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,44,Goods vehicle 7.5 tonnes mgw and over
2,Feb,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Car
3,Feb,17,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Serious,Female,44,Car
2,Feb,21,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,14,Pedal cycle
2,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,48,Car
2,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,26,Car
1,Feb,19,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver,Slight,Female,51,Car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,62,Car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,59,Car
1,Feb,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,49,Bus or coach (17 or more passenger seats)
1,Feb,9,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,41,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
2,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,21,Car
2,Feb,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Taxi/Private hire car
2,Feb,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,5,Car
2,Feb,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car
